cell	PC1	PC2	line_1	line_2	pseudotime	cell_type	sex	AC
SRR2727355	-9.58353131586847	-6.66276421438455	-13.154216797352701	-11.2333736671201	41.562800565254	Epi	female	1
SRR2727160	-4.435535595170999	-0.245814864623052	-13.0704451404879	-11.298818383414499	41.66910532236629	ES	male	1
SRR2727266	-11.770502454303	-10.0447672528803	-12.8715751774052	-11.454181053803596	41.921467802872	ES	female	1
SRR2727394	-6.6496694209597	-7.73963888902249	-10.6848687430208	-13.118413255088198	44.669440482861795	Epi	female	1
SRR2727210	-4.4682208738427	-7.1117637270525	-9.590423838252141	-13.9394745298682	46.03763318366	ES	female	1
SRR2727216	-3.4900429341915697	-5.948691042708791	-9.522833136237141	-13.990181612260196	46.1221299954555	ES	female	1
SRR2727179	-10.853464819052697	-16.7861540456092	-9.060269814052733	-14.330632520829699	46.6964745333211	ES	male	1
SRR2727208	-1.11001403684597	-3.75442776008554	-8.91237582386914	-14.438635143405197	46.879606176724394	ES	female	1
SRR2727191	-8.9591126076924	-14.5177700510356	-8.905167095760289	-14.443899465100904	46.8885324774063	ES	male	1
SRR2727398	-11.078632953011901	-17.6511389387612	-8.79515134051427	-14.5242407289781	47.024760907198804	Epi	female	1
SRR2727405	-13.193583173185804	-21.7182521953667	-8.23743563240916	-14.9315240746511	47.715359585687104	Epi	female	1
SRR2727215	-3.9601905935839294	-9.08319442368167	-8.23327319427326	-14.934563780554097	47.72051377846699	ES	female	1
SRR2727368	-17.1699178161027	-27.51648726864	-8.12163562379967	-15.015777167887304	47.8585665271661	Epi	female	1
SRR2727413	-7.702898462705789	-15.170174194849	-7.772921065211941	-15.2672888300292	48.2885199659992	Epi	female	1
SRR2727231	-3.94079221417747	-10.158058403332198	-7.67540151414938	-15.3376033891887	48.40874558751661	ES	female	1
SRR2727410	-8.96261647676789	-17.9560540709635	-7.2906398927660705	-15.6139140280853	48.8824428267495	Epi	female	1
SRR2727237	-3.01920504919703	-9.793786004686108	-7.21010465715593	-15.671338456048801	48.981354348331784	ES	female	1
SRR2727233	-3.56412733000668	-11.0052034590335	-6.99871735227146	-15.822064966870899	49.240975367763795	ES	female	1
SRR2727370	-14.7709159031373	-27.5390102373006	-6.638629097499192	-16.078717172876402	49.6831675274325	Epi	female	1
SRR2727192	-2.7988496490090604	-10.9609209930247	-6.49227469937765	-16.1824509489693	49.862556228726596	ES	male	1
SRR2727178	-5.982652416221111	-16.605410240727	-5.953026618314952	-16.563256392853198	50.52270869522321	ES	male	1
SRR2727339	-5.538223117934768	-18.330276974380894	-4.84796105826272	-17.3360393701455	51.87117575896861	Epi	female	1
SRR2727342	-6.76028450599846	-20.5259048038607	-4.650309393469099	-17.4730573850183	52.111675482451496	Epi	female	1
SRR2727163	2.9027072114099504	-6.55240566801729	-4.64678393134733	-17.4754940077237	52.115961041152715	ES	male	1
SRR2727235	-2.37632817818248	-14.6397892197734	-4.43661865196842	-17.6207497143373	52.371438368836	ES	female	1
